Trial,Initial Point (x0),Final Point (x*),Function Value f(x*),No. of Fn. Eval
1,"(6.000, 10.000, 12.000, 12.000, 10.000, 6.000)","(6.000, 10.000, 12.000, 12.000, 10.000, 6.000)",-50.000,79
2,"(5.000, 9.000, 10.000, 9.000, 9.000, 3.000)","(5.959, 9.816, 11.675, 11.256, 8.992, 5.772)",-49.526,1381
3,"(-5.000, -9.000, -10.000, -9.000, -9.000, -3.000)","(5.936, 9.910, 11.878, 11.854, 9.761, 5.022)",-49.242,1741
4,"(0.000, -10.000, 4.000, 6.000, 10.000, -12.000)","(3.590, 5.373, 5.095, 4.714, 4.313, 2.842)",-32.509,2347
5,"(1.000, -1.000, 1.000, 1.000, 1.000, -1.000)","(6.036, 10.055, 12.065, 11.961, 9.977, 6.060)",-49.988,3036
6,"(-1.000, -1.000, -1.000, -1.000, -1.000, -1.000)","(5.998, 9.998, 11.998, 11.998, 9.998, 5.997)",-50.000,1138
7,"(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)","(6.001, 10.001, 12.002, 12.001, 10.002, 6.002)",-50.000,1117
8,"(12.000, 12.000, 12.000, 12.000, 12.000, 12.000)","(6.646, 11.260, 13.832, 14.074, 11.800, 7.117)",-48.515,2306
9,"(15.000, 15.000, 15.000, 15.000, 15.000, 15.000)","(7.269, 12.548, 14.994, 14.541, 11.609, 6.674)",-47.076,1277
10,"(1.000, 1.000, 1.000, 1.000, 1.000, 1.000)","(5.986, 9.971, 11.933, 11.818, 9.349, 6.393)",-49.260,1012
